日付,曜日,区分,予定開始🤖,予定終了🤖,予定所要分🤖,実開始✋,実終了✋,実所要分,本部,予定・タスク内容,営業直結,ステータス,結果✋,メモ・学び✋,詳細リンク
2026-06-04,木,予定,5:30,7:30,120,5:30,7:30,120,3,朝礼（攻め追客・他力）,○,完了,○,,
2026-06-04,木,予定,7:30,8:00,30,7:30,8:00,30,0,葵斗モーニングルーティン,-,完了,○,死守,
2026-06-04,木,予定,8:00,10:00,120,8:00,10:00,120,01/02,BS完成・PL途中・業務マニュアル完成,-,完了,○,★内務枠どおり(2h)＝律せた,
2026-06-04,木,予定,9:30,10:30,60,9:30,10:30,60,5,栄町（松戸4-215）,○,完了,○,6/8決済前,https://www.notion.so/3737d27fe295815cb9e7cf9204135c07
2026-06-04,木,予定,10:00,12:00,120,10:00,11:30,90,5,テレアポ枠（新規開拓B）,○,完了,△,実際は277高松 精査＋DD/解体メールに充当／新規開拓Bは未実施,https://www.notion.so/3737d27fe295815cb9e7cf9204135c07
2026-06-04,木,予定,12:15,12:45,30,12:15,12:45,30,4,土地家屋調査士（昼）,-,完了,○,死守（仕込）,
2026-06-04,木,予定,13:00,15:00,120,13:00,15:00,120,4,狩野さん（オーロラ板橋）対面＠表参道スタバ,○,完了,○,加盟検討・採用相場／手応えあり,https://docs.google.com/spreadsheets/d/18C4F_EbMnOR9uNisgXBWxTgK4R8DvOnMqv-1sGW5MPc/edit
2026-06-04,木,予定,16:00,17:00,60,16:00,18:15,135,4,福井 AI医療コンサル プレゼン,○,完了,○,🔥+75分白熱（医療＝本命現金源）,
2026-06-04,木,予定,17:00,18:00,60,17:00,18:00,60,3,終礼（組織化）,-,完了,△,福井延長で重複,
2026-06-04,木,予定,18:00,20:00,120,18:30,20:00,90,0,親子タイム,-,完了,○,死守（30分後ろ倒し）,
2026-06-04,木,予定,20:00,21:00,60,20:00,23:00,180,3,韓国（EC）,○,完了,◎,🎯ゆーしにClaude共有→売上UP＋クーパン2垢復活(KYC解錠→11月M&A)指示＝停滞ゆーし始動,
2026-06-04,木,予定,21:00,22:00,60,,,0,4,土地家屋調査士（夜）,-,捨(意図的),捨,プーの『捨てる』／韓国EC優先で意図的に捨てた,
2026-06-04,木,タスク,,,,,,,4,狩野 対面の質問リスト整理（スプシ）,○,完了,○,移動中確認用,https://docs.google.com/spreadsheets/d/18C4F_EbMnOR9uNisgXBWxTgK4R8DvOnMqv-1sGW5MPc/edit
2026-06-04,木,タスク,,,,,,,5,キーマン15人 追客→ランチ会（ルーティンA）,○,着手,,OK済→明日コンタクト開始,https://docs.google.com/spreadsheets/d/1PWI3JyEVaFsTZqOA_DNijBIDtGHMZM2JRhdHORkKQhY/edit
2026-06-04,木,タスク,,,,,,,5,高松 トラステン阿部様 DDメール送信,○,完了,○,午前に送付,https://www.notion.so/3737d27fe295815cb9e7cf9204135c07
2026-06-04,木,タスク,,,,,,,5,高松 解体3社 相見積メール送信,○,完了,○,午前に送付,https://www.notion.so/3737d27fe295815cb9e7cf9204135c07
2026-06-04,木,タスク,,,,,,,4,曾我/内山 追客 福井下書き 送信判断,○,未,,期限6/5・繰越,https://docs.google.com/spreadsheets/d/1PWI3JyEVaFsTZqOA_DNijBIDtGHMZM2JRhdHORkKQhY/edit
2026-06-04,木,タスク,,,,,,,5,栄町6/8決済 持参書類 不備チェック,○,未,,6/8決済,https://www.notion.so/3737d27fe295815cb9e7cf9204135c07
2026-06-04,木,作業,,,,,,,秘書,朝ブリーフ5点ルール恒久化,○,完了,○,メモリ記録,https://docs.google.com/spreadsheets/d/1ofLJOFuW5175OHDSy0J0561LzrfAU-M015o7ByGH5wc/edit?gid=985549912
2026-06-04,木,作業,,,,,,,秘書,②時間×金×家族ダッシュ連動を朝ブリーフに組込,○,完了,○,投下予定490h≫実働,https://docs.google.com/spreadsheets/d/1ofLJOFuW5175OHDSy0J0561LzrfAU-M015o7ByGH5wc/edit?gid=985549912
2026-06-04,木,作業,,,,,,,5,営業2ルーティン確定（A既存15人/B新規テレアポ）,○,完了,○,プー逆算=厚利少本,https://docs.google.com/spreadsheets/d/1PWI3JyEVaFsTZqOA_DNijBIDtGHMZM2JRhdHORkKQhY/edit
2026-06-04,木,作業,,,,,,,5,物件自動拾いA 優先度見直し（銀行融資OK目線の逆算が先）,○,完了,○,,
2026-06-04,木,作業,,,,,,,4,狩野 当日質問リスト9問 作成,○,完了,○,,
2026-06-04,木,作業,,,,,,,5,キーマン15人 追客リスト作成→タスク化,○,完了,○,ルーティンA初回,https://docs.google.com/spreadsheets/d/1PWI3JyEVaFsTZqOA_DNijBIDtGHMZM2JRhdHORkKQhY/edit
2026-06-04,木,作業,,,,,,,秘書,KHD日報ログ 新設＋時刻列/リンク列/日々抽出ルール構築,○,完了,○,,
2026-06-04,木,作業,,,,,,,秘書,予実差分・自己矯正システム 設計確定＋本日初回運用,○,完了,○,,
2026-06-05,金,予定,6:00,7:00,60,06:00,07:00,60,3,朝礼（攻め追客・他力）,○,完了,攻め追客・他力チェック,,
2026-06-05,金,予定,7:00,9:00,120,,,,4,土地家屋調査士（朝活）,-,未実施,カレンダーに実ブロックなし(営業/財務に充当),,
2026-06-05,金,予定,7:30,8:00,30,07:30,08:30,60,0,葵斗モーニングルーティン,-,完了,葵斗モーニング,死守達成,
2026-06-05,金,予定,9:00,10:00,60,09:00,11:15,135,3,事業計画,-,完了,⑤借入の返済予定表DL→借入修正(公庫/朝日/東京ベイ),内務枠,
2026-06-05,金,予定,10:00,11:00,60,14:30,16:30,120,5,仕入,○,実施,要確認(成果は別記録),,
2026-06-05,金,予定,12:00,14:00,120,12:30,14:30,120,5,営業,○,実施,要確認(追客件数),本筋D=15人追客/新規開拓,
2026-06-05,金,予定,14:00,15:00,60,,,,4,土地家屋調査士,-,未実施,営業/仕入に充当,,
2026-06-05,金,予定,15:00,17:00,120,16:30,17:30,60,5,営業,○,実施,要確認,本筋D,
2026-06-05,金,予定,17:00,17:10,10,17:30,17:40,10,1,全PJ進捗更新（10分）,-,完了,全PJ進捗更新,内務,
2026-06-05,金,予定,17:00,18:00,60,20:00,23:45,225,3,終礼（組織化）,-,完了(大幅超過),財務DB全面改修(税理士修正/連動①/色)＋医療下書き(曾我・内山)＋マニュアルv2＋タブ番号整理＋再設計ブループリント,予定17:00→実20:00開始。本日ほぼ内務=営業直結26%を体現(李牧メタ),https://app.notion.com/p/3767d27fe295816986dcf70ebf49b0a6
2026-06-05,金,予定,18:00,20:00,120,18:00,20:00,120,0,親子タイム,-,完了,親子タイム,死守達成,
2026-06-05,金,予定,20:00,21:00,60,,,,4,土地家屋調査士,-,未実施,終礼(財務)が23:45まで占有,,
