区分	優先	業者名	担当	電話🟡	メール	LINE🟡	エリア	得意・対応内容	買取も可	紹介/条件	費用感(外注)	実例案件	満足度🟡	見積優先	取引実績	直近接点	温度🟡	🚩ブレーキ(ここがダメなら見送り)	次アクション	出典
仕入	★	リブシル	鎌田	🟡	sales@libsil.com	🟡	東京郊外	古屋付土地・建替前提	△	買取依頼常連					常連	6/10			査定即返し→月1フォロー	Gmail
仕入	★	ファウンティン	森田/金谷	🟡	morita@fountaintokyo.com	🟡	千葉/地方	新築AP・OC戸建・ローンブレイク	—	物件紹介					複数	6/9			ローンブレイク=安い。優先対応	Gmail
仕入	★	トラッド	田口	🟡	h-taguchi@trad-w.com	🟡	西東京	未公開中古戸建	—	未公開紹介					—	6/8			返信維持で未公開を回す	Gmail
仕入	★	ひかり不動産	松村	🟡	ma@hikarifudosan.com	🟡	首都圏	中古戸建・訳あり	○	紹介に業務委託費還元					—	6/4			★同型スキーム=最優先で関係構築	Gmail
仕入	★	ムゲンエステート	木村	🟡	r.kimura@mugen-estate.co.jp	🟡	一都三県	戸建/区分/一棟/バルク	○何でも買う	未公開					—	6/11			紹介依頼＋卸先にも	Gmail
仕入	★	SA(株)	大根田	🟡	oneda@sakk.jp	🟡	一都三県	築古AP/再建不可/底地/共有持分	○	スピード査定2日					—	6/11			訳あり仕入＆卸の両対応	Gmail
仕入	★	訳あり買取.com	—	🟡	agent@wakearikaitori.com	🟡	全国	再建不可/相続放棄/抱合せ	○即買	紹介に企画料					—	6/8			企画料=業委と同型。卸先◎	Gmail
仕入	★	森住建	馬/唐	🟡	w.ma@morijuken.co.jp	🟡	東京	未公開一棟ビル/収益	—	完全未公開					—	6/5			未公開を回す	Gmail
仕入	★	CENTURY21 THコーポ	前原	🟡	maehara@c21-th.net	🟡	神奈川	古屋付土地	△	買取査定提携募集中					—	6/4			神奈川窓口。提携申込	Gmail
仕入	★	東急リバブル	石川/福田/川瀬/新井/古田	🟡	ma.livable.jp	🟡	一都三県+地方	一棟/戸建/入札/事業用地	—	買取物件紹介					多数	6/11			複数担当=窓口広い	Gmail
