#separator:tab
#html:false
#columns:表(問題)	裏(答え＋根拠)	タグ
#　Ankiインポート用 / 菊池研太 第11回(43点)の誤答20問から生成 / 2026-06-10
#　使い方: Anki→ファイル→読み込み→このtxt→フィールド区切り「タブ」→デッキ「調査士_択一弱点」
被保佐人が「保証契約の締結をやめる(取りやめる)」のは、保佐人の同意なく自分の判断だけでできるか？	〇 できる。同意が要るのは"締結"する側。やめるのは単独でOK	民法_制限行為能力
詐欺による意思表示の取消しを、善意無過失の第三者に対抗できるか？	× できない。善意無過失の第三者には対抗不可（民§96③）	民法_意思表示
成年被後見人に法定代理人がないとき、時効はいつまで完成しないか？	満了前6か月以内に代理人を欠く場合、後見人就職等の時から6か月を経過するまで完成しない（民§158①）	民法_時効
指図による占有移転で「承諾する」のは代理人か？	× 代理人ではなく"第三者"が承諾する（民§184）	民法_占有
賃借人が増築した部分が「取引上の独立性を有しない」とき、賃借人は所有権を取得するか？	× 取得しない（独立性なし＝付合）	民法_物権
遺贈による物権変動は、登記なしで第三者に対抗できるか？	× できない。対抗要件は登記	民法_物権変動
新所有者は、いつ地積更正登記を申請できるか？	所有権移転登記を受けた"後"でなければ申請できない	不登法_表示
地目変更登記を、債権者が代位申請できるか？	× できない。地目変更は共有者一人から申請可＝被保全債権がなく代位不可	不登法_代位
建物移転で閉鎖した従前の建物図面の保存期間は？	30年間（規則28条13号）	不登規則_保存期間
法定相続情報一覧図つづり込み帳の保存期間は？	5年間（規則28条の2第6号）※30年ではない	不登規則_保存期間
土地が滅失したとき、地図訂正の申出は必要か？	× 不要。登記官が実地調査の結果に基づき処理する	不登法_地図
地積測量図の「一部」の写しの交付を請求できるか？	〇 できる（法121条1項）	不登法_証明
合体による登記の申請書に記名押印は必要か？	〇 必要（規則47条3号イ(6)）	不登法_合体
建物の分棟(表題部変更)に登録免許税は課されるか？	× 課されない（表題部の変更）	税_登録免許税
土地家屋調査士法人は、会社法人等番号の提供で代表者の資格証明に代えられるか？	〇 代えられる（規則37条の2）	調査士法
住所証明情報(住所証明書)に有効期間の制限はあるか？	× 制限なし	不登法_添付情報
利用可能な街区基準点を利用しない地積測量図の申請はどうなるか？	却下される	不登法_地積測量図
浄水場内の事務所の地目は宅地か？	× 水道用地（準則68条15号）	不登法_地目
宅地に接続するテニスコートの地目認定は？	宅地と認定される（分筆後も宅地で地積表示）	不登法_地目
分筆のみで持分(権利)の変動は生じるか？	× 生じない。分筆後も甲・乙土地は共有のまま	不登法_分筆
