年月,アカウント,プラットフォーム,注文番号,商品名,ASIN,数量,総売上円,手数料円,純売上円,原価円,配送料円,粗利円,営業利益円,粗利率
2025-01,クーパン1,クーパン,8100088283555,Freewell DJI Mini 3 Pro 専用 広角レンズ アナモルフィッ,B0BJV4DHFF,1,15629,1719,13910,12800,920,1110,190,0.0798
2025-01,クーパン1,クーパン,28100087939395,TAMASHII NATIONS S.H.フィギュアーツ 怪獣8号 保科宗四郎 ,B0DBL59G33,1,8497,935,7562,5470,920,2092,1172,0.2767
2025-01,クーパン1,クーパン,5100088030867,ソニー ハンディーポータブルラジオ ICF-P27 : FM/AM/ワイドFM対,B09J4RMWH8,1,8322,915,7406,7700,920,-294,-1214,-0.0396
2025-01,クーパン1,クーパン,18100088118121,figma バニースーツ プランニング ソフィア F シャーリング ビキニアーマ,B0BT4VF1YF,1,17246,1897,15349,17980,920,-2631,-3551,-0.1714
2025-01,クーパン1,クーパン,19100088381999,ハクバ HAKUBA レンズフィルター 82mm XC-PRO エクストリーム ,B00LUGMWU4,1,8246,907,7339,6172,920,1167,247,0.159
2025-01,クーパン1,クーパン,29100088385652,ASUSTek 拡張カード ThunderboltEX 4 デュアルThunde,B097P6WLGS,1,20115,2213,17902,17152,1020,750,-270,0.0419
2025-01,クーパン1,クーパン,14100088552746,[オリエントスター]ORIENT STAR 自動巻き腕時計 セミスケルトン 機械,B07QP89ZS7,1,74275,8170,66105,64240,920,1865,945,0.0282
2025-01,クーパン1,クーパン,3100088777590,BANDAI SPIRITS(バンダイ スピリッツ) MGSD 機動戦士ガンダム,B0C88KB757,1,8342,918,7425,7700,920,-275,-1195,-0.0371
2025-01,クーパン1,クーパン,4100088677172,[カシオ] 腕時計 ジーショック 【国内正規品】日本製 MT-G Bluetoo,B0BGGR92GS,1,105936,11653,94283,109648,920,-15365,-16285,-0.163
2025-01,クーパン1,クーパン,9100088558504,K&F Concept 67mm 可変NDフィルター ND2-ND400レンズフ,B00JL4INW8,1,5952,655,5297,3990,920,1307,387,0.2468
2025-01,クーパン1,クーパン,28100088691531,オデッセイ(ODYSSEY) 右用 パター WHITE HOT BLACK #5,B0CB83HX7B,1,26576,2923,23653,22436,920,1217,297,0.0514
2025-01,クーパン1,クーパン,6100088786709,ソニー ハンディーポータブルラジオ ICF-P27 : FM/AM/ワイドFM対,B09J4RMWH8,1,9261,1019,8242,7700,920,542,-378,0.0658
2025-01,クーパン1,クーパン,8100089111875,figma バニースーツ プランニング ソフィア F シャーリング ノンスケール,B098DMGHSN,1,16871,1856,15015,13200,920,1815,895,0.1209
