注文番号,区分,アカウント,年月,商品名,見込みZ_KRW,実精算_KRW,差KRW,精算源,行別為替,実精算_円,見込みAB_円
23100114142486,照合OK,クーパン1,2025-05,ゴルフレーザー距離計 mini VM1/VM2 「今平周吾プ,198630,206218,-7588,snap,0.1045997,21570,20777
17100131856297,照合OK,クーパン2,2025-08,マテル(MATTEL) ジュラシックワールド(JURASSI,63163,63305,-142,MSF,0.1059,6704,6689
31100131333783,照合OK,クーパン2,2025-08,シマノ(SHIMANO) レバーブレーキ スピニングリール ,286055,286698,-643,MSF,0.1059,30361,30293
11100096150716,照合OK,クーパン1,2025-02,Geekria 60% コンパクトキーボードケース、61 キ,37273,39200,-1927,snap,0.1035,4057,3858
31100141274977,照合OK,クーパン1,2025-09,ソニー(SONY) コンデンサーマイク モノラル/電話録音用,28818,29854,-1036,MSF,0.1054107,3147,3038
18100112284409,照合OK,クーパン1,2025-05,[SEIKO]セイコー SEIKO5 セイコー5 機械式（自,206418,207577,-1159,snap,0.1045997,21712,21591
28100161726368,照合OK,クーパン1,2025-12,【医療メーカーが作るサポーターブランド】メディエイド フィッ,38288,39664,-1376,MSF,0.108625,4309,4159
29100104045012,照合OK,クーパン2,2025-03,TVCM放映中！小松菜奈さん出演【医療団体推奨】MYTREX,141261,146340,-5079,snap,0.1019,14912,14394
6100135521914,照合OK,クーパン1,2025-08,〔セイコー〕SEIKO 時計バンド ベルト19mm DX60,32156,32336,-180,MSF,0.1059,3424,3405
3100093949162,照合OK,クーパン1,2025-02,INPON 汎用 L型クイックリリースプレート L型ブラケッ,28222,29871,-1649,snap,0.1035,3092,2921
3100135066340,照合OK,クーパン1,2025-08,[FUANNA] ネックレス メンズ 人気 タングステン ネ,42124,42360,-236,MSF,0.1059,4486,4461
17100119963900,照合OK,クーパン1,2025-06,ブラウン(Braun) シェーバー用 充電スタンド シリーズ,39801,41232,-1431,MSF,0.1073873,4428,4274
3100134464391,照合OK,クーパン2,2025-08,NITTO(日東工器) スーパーハンド ASH-900,822324,851892,-29568,MSF,0.1059,90215,87084
9100127601985,照合OK,クーパン1,2025-07,OM SYSTEM/オリンパス レンズキャップ LC-62G,26798,27761,-963,MSF,0.1076677,2989,2885
11100129088385,照合OK,クーパン1,2025-07,HUAWEI Eyewear 2 オーディオグラス オープン,246655,255523,-8868,MSF,0.1076677,27512,26557
20100145424445,照合OK,クーパン1,2025-10,キングストン Kingston FURY デスクトップPC用,199582,209898,-10316,MSF,0.1076969,22605,21494
32100146933286,照合OK,クーパン2,2025-10,ソニー(SONY) ワイヤレスネックバンドスピーカー SRS,127982,132584,-4602,MSF,0.1076969,14279,13783
24100132393761,照合OK,クーパン1,2025-08,ＲＧ 1/144 アカツキガンダム用シラヌイパック & ＨＧ,93005,93214,-209,MSF,0.1059,9871,9849
13100122740137,照合OK,クーパン1,2025-06,HyperX Cloud Stinger Coreワイヤレス,81551,85766,-4215,MSF,0.1073873,9210,8758
20100114878723,照合OK,クーパン1,2025-05,KCNC 自転車 軽量 チェーンリング ボルト SB009 ,44108,44208,-100,snap,0.1045997,4624,4614
32100138388702,照合OK,クーパン2,2025-09,DR.WU (ドクターウー) マンデル酸 18% ピーリング,48736,49503,-767,MSF,0.1054425,5220,5139
9100094003304,照合OK,クーパン2,2025-02,マテル ジュラシックワールド(JURASSIC WORLD),64543,64688,-145,snap,0.1035,6695,6680
11100130149529,照合OK,クーパン1,2025-07,HUAWEI Eyewear 2 オーディオグラス オープン,247625,256528,-8903,MSF,0.1076677,27620,26661
30100123324277,照合OK,クーパン1,2025-06,[カシオ] 腕時計 ジーショック 【国内正規品】 G-SQU,353116,355100,-1984,MSF,0.1073873,38133,37920
3100091692531,照合OK,クーパン1,2025-01,HGUC 1/144 アッシマー （機動戦士Zガンダム）,48505,48614,-109,snap,0.1068,5192,5180
9100136933928,照合OK,クーパン1,2025-09,日本製線 LAN用プラグツール NST88,184061,190679,-6618,MSF,0.1054107,20100,19402
28100138096074,照合OK,クーパン2,2025-09,ダイワ(DAIWA) エギング専用リール 24エメラルダス ,148737,149071,-334,MSF,0.1054425,15718,15683
2100158189673,照合OK,クーパン1,2025-12,ASUS ゲーミングマウス ワイヤレス ROG Gladiu,133108,139839,-6731,MSF,0.108625,15190,14459
15100109015624,照合OK,クーパン2,2025-04,[オリエント]ORIENT Bambino バンビーノ 自動,320631,322433,-1802,snap,0.1002988,32340,32159
4100125984310,照合OK,クーパン1,2025-07,AIMZENIX AX200 PCゲーミングキーボードとマウ,81399,85515,-4116,MSF,0.1076677,9207,8764
22100132178856,照合OK,クーパン2,2025-08,[TUAHOUS] ディズニー ハロウィン コスプレ 人魚姫,34541,34735,-194,MSF,0.1059,3678,3658
19100138659961,照合OK,クーパン1,2025-09,PYKES PEAK（パイクスピーク） ゴルフ キャディバッ,137897,138206,-309,MSF,0.1054107,14568,14536
29100125284310,照合OK,クーパン1,2025-07,Medela(メデラ) カーム 授乳システム | メデラの母,34470,34857,-387,MSF,0.1076677,3753,3711
14100162464085,照合OK,クーパン1,2025-12,ブラウン オーラルB D6015253P,63697,29100,34597,MSF,0.108625,3161,6919
24100089150773,照合OK,クーパン1,2025-01,仮面ライダーゼロワン DXシャイニングホッパープログライズキ,53382,53502,-120,snap,0.1068,5714,5701
14100103859177,照合OK,クーパン1,2025-03,タカラトミー プラレール シンカリオンCW E7かがやき ド,63181,63323,-142,snap,0.1019,6453,6438
22100145205800,照合OK,クーパン1,2025-10,スパイク(SPEICK) 【日本正規輸入品】メンズ・シェイビ,29877,30952,-1075,MSF,0.1076969,3333,3218
4100106054407,照合OK,クーパン2,2025-04,ヤマハ YAMAHA ギターアンプ THR5,284248,284887,-639,snap,0.1002988,28574,28510
31100092177269,照合OK,クーパン2,2025-01,デミ フローディア ST スリークモイスト 4 レフィル 4,56417,57305,-888,snap,0.1068,6120,6025
5100137603932,照合OK,クーパン1,2025-09,BANDAI SPRITS RG 1/144 ガンダムアスト,91572,91778,-206,MSF,0.1054107,9674,9653
12100139737114,照合OK,クーパン1,2025-09,スター・ウォーズ ブラックシリーズ 6インチ アクションフィ,49591,49702,-111,MSF,0.1054107,5239,5227
30100146435169,照合OK,クーパン1,2025-10,ブッシュネル（Bushnell） レーザー距離計 ピンシーカ,326212,338674,-12462,MSF,0.1076969,36474,35132
25100154890888,照合OK,クーパン2,2025-11,シマノ(SHIMANO) レバーブレーキ スピニングリール ,257539,258118,-579,MSF,0.1068876,27590,27528
23100123911935,照合OK,クーパン1,2025-07,Newニンテンドー3DS LL ライム×ブラック,357949,374841,-16892,MSF,0.1076677,40358,38540
32100126921953,照合OK,クーパン1,2025-07,[カシオ] 腕時計 ジーショック 【国内正規品】 G-SQU,286277,287886,-1609,MSF,0.1076677,30996,30823
10100139934504,照合OK,クーパン2,2025-09,BANDAI SPIRITS(バンダイ スピリッツ) RG ,49297,49408,-111,MSF,0.1054425,5210,5198
2100106249138,照合OK,クーパン1,2025-04,マークス ペンケース S2 クリザンテーム･ホワイト ポール,35547,35626,-79,snap,0.1002988,3573,3565
