物件タイプ,投げ先候補,紹介日,業者名,物件住所,元担当,連絡先,状況(最新)
不明,保留,3/7/2023,松永都市開発株式会社,さいたま市岩槻区一丁目１５８０－１８,佐藤,070-6525-4594,2023/3/８現地調査。弊社目線の180万円＋業務委託料10万円で査定報告書提出。もう一声の査定価格欲しそう。3/13 買付を出すため内見希望を伝える。売主目線と開きがありすぎたため、一時停止中。
不明,①自分で再アプローチ,5/11/2023,アーバンフロンティア,さいたま市岩槻区加倉5-10-65,込山,048-878-8102,に金額提示済みだが息子が手元に50万うーむ・・・母親はOKだそう。説得してみますとのこと⇒2023/05/22　問題の息子が月末までフィリピン出張らしく戻ってきたら正式に進められそうとのことで松井社長からの折り返し待ち⇒売主と息子で話し合いしばらく住むことにしたとのことでクローズ
不明,⑤投資家,4/17/2023,(株)中央住宅　千間台営業所,さいたま市岩槻区東町1-2-14,込山,090-3045-0624,2023/4/17　投資家がローンコケタ案件、350万以下は厳しい、AI査定だと340万\~689万、残置物、要修繕の必要あり希望は200万以下にしたい・・・さいけんふ、調整区域もあり金額合わずクローズ
不明,保留,3/25/2023,(株)システムホーム,みさと団地13街区15号棟3F,込山,048-961-7771,2023/3/25　11:23外出中、2023/3/27　12:25外出中
不明,保留,5/26/2023,大顕（だいけん）,加須市琴寄,込山,048-568-1200,者がこれから買おうとしている加須市琴寄の案件です。売主の仲介は東京の業者。 岡田さんが100万で買おうとしている物件。業務委託料100万ぐらい貰えれば三為でやってもいいよと。⇒出口350万～400万エリアなので200万で仕入れ現状のまま転売想定⇒仕入れに失敗したとのことでクローズ
不明,①自分で再アプローチ,7/7/2023,MRK Next 松戸不動産,千葉県,込山,047-718-7781 080-8742-3015,ろいろ売れていないのある.1件自社物件、仲介10件ほどあるが、そのうち、3～４件が８月までに売りたい所有者様なので、指値してくださいとのこと。数件あり査定中　物件多数ありhttps://www.athome.co.jp/buy\_other/estate/101730/list/
不明,保留,7/7/2023,オカムラメイト 緑が丘店,千葉県市川市曾谷,込山,047-458-6667,"2023/7/７　(株)オカムラメイト 売買は→　　緑ヶ丘店（047-458-6667））に電話。渡辺様とおはなし。ふじめ、2,400万円、1,700万円ご紹介頂くも、難しい。古い狭いは？市川市曾谷の780万円ご紹介頂く。隣地境界線が現在わからないとのこと"
不明,保留,9/5/2023,野村不動産ソリューションズ　大宮,埼玉県さいたま市大宮区堀之内1丁目93番（地番）,江藤,048-658-5230　080-8174-8153,借地物件のため出口が見えずクローズとなる。
不明,保留,5/11/2023,関東不動産,埼玉県加須市柳生2070-7,込山,0280-62-0469,ようにFAXでメールアドレス伝えました。⇒資料来て査定、鍵はまだなので内見できない机上査定依頼⇒AI査定で232万円、引き取り50万＋20万で出井さんへ話しました。出口はそのまま転売で250万想定⇒2023/06/01　出井さんに電話、売主検討中とのこと日を改めてまた電話します。
不明,①自分で再アプローチ,5/30/2023,住まい人,埼玉県幸手市中5-16-15,込山,0480-57-2121,万（これは仲介からこの金額でスタートしましょうで提示した）現状のままで取り壊し費用なども入れると買取で200万前後になる旨を伝、三為OKならこちらでビルダー探すので400万前後で買い取りができる旨もお伝え、売り主に右から左で手放すか高値で売れるのを待つか相談して返答しますとのこと
不明,①自分で再アプローチ,1/27/2023,福研住宅サービス,富士見市羽沢1-13-14,森田,049-261-3598,し予定。ただし外観からは100万ほどしか出すことはできない。敷地も12坪ほど。待ち (3/6)7月に引っ越し予定。それまで広告は出し続けて欲しいとのこと。まだ反響はないかが、近くなったら再度連絡する （4/24）445万ほどで売却・契約になったとのこと（北嶋さんの架電により判明）
不明,①自分で再アプローチ,4/10/2023,朝日ハウジング,富士見市貝塚1-1501-32,森田,049-287-1060,感じがするので今月中旬ごろに再度電話する予定 2023/4/25　売主が相続の登記手続きをしている最中とのこと・・・（なかなか進まない。少し間を空けることに） 2023/4/10　司法書士にかかる費用を確認中とのこと。先週と変わらない状況だったので、多分手付かずの状態と思われる。
