"利用日","利用店名・商品名","利用者","支払方法","利用金額","手数料/利息","支払総額","支払月","6月支払金額","当月請求額","7月繰越残高","7月以降請求額"
"2026/05/31","ＶＩＳＡ国内利用　VS ﾋﾟｻﾞﾊﾂﾄﾄﾖｽﾃﾝﾋﾟｻﾞﾊ","本人","1回払い","6469","0","6469","6月","6469","6469","0",""
"2026/05/31","ＶＩＳＡ国内利用　VS ﾏｲﾊﾞｽｹﾂﾄ","本人","1回払い","676","0","676","6月","676","676","0",""
"2026/05/30","ＶＩＳＡ国内利用　VS ｶﾌﾞｼｷｶﾞｲｼﾔﾎﾟﾋﾟﾝｽﾞ","本人","1回払い","16786","0","16786","6月","16786","16786","0",""
"2026/05/29","ＶＩＳＡ国内利用　VS ﾏｲﾊﾞｽｹﾂﾄ","本人","1回払い","1832","0","1832","6月","1832","1832","0",""
"2026/05/25","ＶＩＳＡ国内利用　VS ｲﾄ-ﾖ-ｶﾄﾞ- ｷﾊ","本人","1回払い","2615","0","2615","6月","2615","2615","0",""
"2026/05/24","西友　２　5012921145648 07658","本人","1回払い","2803","0","2803","6月","2803","2803","0",""
"2026/05/24","西友","本人","1回払い","3560","0","3560","6月","3560","3560","0",""
"2026/05/24","ＶＩＳＡ国内利用　VS ﾏｲﾊﾞｽｹﾂﾄ","本人","1回払い","525","0","525","6月","525","525","0",""
"2026/05/23","ＶＩＳＡ国内利用　VS ﾉｼﾞﾏ ｲﾄ-ﾖ-ｶﾄﾞ-ｷﾊﾞ","本人","1回払い","1130","0","1130","6月","1130","1130","0",""
"2026/05/23","ＶＩＳＡ国内利用　VS ｲﾄ-ﾖ-ｶﾄﾞ- ｷﾊ","本人","1回払い","567","0","567","6月","567","567","0",""
"2026/05/22","ＧＵ　ＭＯＤＥ楽天市場店　ﾗｸﾃﾝｲﾁﾊﾞ705011","本人","1回払い","5274","0","5274","6月","5274","5274","0",""
"2026/05/22","楽天２４　ベビー館　ﾗｸﾃﾝｲﾁﾊﾞ703018","本人","1回払い","10700","0","10700","6月","10700","10700","0",""
"2026/05/22","ＶＩＳＡ国内利用　VS ﾏｲﾊﾞｽｹﾂﾄ","本人","1回払い","2021","0","2021","6月","2021","2021","0",""
"2026/05/20","ＶＩＳＡ国内利用　VS ﾏｲﾊﾞｽｹﾂﾄ","本人","1回払い","4748","0","4748","6月","4748","4748","0",""
"2026/05/20","ＶＩＳＡ国内利用　VS ﾏｲﾊﾞｽｹﾂﾄ","本人","1回払い","1779","0","1779","6月","1779","1779","0",""
"2026/05/17","ＶＩＳＡ国内利用　VS ﾏｲﾊﾞｽｹﾂﾄ","本人","1回払い","665","0","665","6月","665","665","0",""
"2026/05/16","ＶＩＳＡ国内利用　VS ﾏｲﾊﾞｽｹﾂﾄ","本人","1回払い","387","0","387","6月","387","387","0",""
"2026/05/16","楽天証券投信積立０．５％～","本人","1回払い","99999","0","99999","6月","99999","99999","0",""
"2026/05/15","ＶＩＳＡ国内利用　VS ﾏｲﾊﾞｽｹﾂﾄ","本人","1回払い","440","0","440","6月","440","440","0",""
"2026/05/14","西友","本人","1回払い","2287","0","2287","6月","2287","2287","0",""
"2026/05/14","ＶＩＳＡ国内利用　VS ｾﾘｱ ｾｲﾕｳﾄｳﾖｳﾁﾖｳﾃﾝ","本人","1回払い","330","0","330","6月","330","330","0",""
"2026/05/14","ＶＩＳＡ国内利用　VS ｶﾌﾞｼｷｶﾞｲｼﾔﾎﾟﾋﾟﾝｽﾞ","本人","1回払い","16786","0","16786","6月","16786","16786","0",""
"2026/05/08","ＶＩＳＡ国内利用　VS ﾏｲﾊﾞｽｹﾂﾄ","本人","1回払い","1517","0","1517","6月","1517","1517","0",""
"2026/05/06","西友","本人","1回払い","2027","0","2027","6月","2027","2027","0",""
"2026/05/01","ＶＩＳＡ国内利用　VS ﾐﾙｸｺｳﾎﾞｳﾎﾞﾝ ﾃﾞｲｱ","本人","1回払い","660","0","660","6月","660","660","0",""
