利用日,店名,金額,区分,勘定科目,税区分,メモ
2026/05/31,VISA国内利用 VS ピザハツトトヨステンピザハ,6469,家計,外食費,対象外,外食
2026/05/31,VISA国内利用 VS マイバスケツト,676,家計,食費,対象外,食料品(スーパー)
2026/05/30,VISA国内利用 VS カブシキガイシヤポピンズ,16786,家計,教育・保育,対象外,育児・保育(ポピンズ)
2026/05/29,VISA国内利用 VS マイバスケツト,1832,家計,食費,対象外,食料品(スーパー)
2026/05/25,VISA国内利用 VS イト-ヨ-カド- キハ,2615,家計,食費,対象外,食料品(スーパー)
2026/05/24,西友 2 5012921145648 07658,2803,家計,食費,対象外,食料品(スーパー)
2026/05/24,西友,3560,家計,食費,対象外,食料品(スーパー)
2026/05/24,VISA国内利用 VS マイバスケツト,525,家計,食費,対象外,食料品(スーパー)
2026/05/23,VISA国内利用 VS ノジマ イト-ヨ-カド-キバ,1130,家計,日用品,対象外,日用品・育児
2026/05/23,VISA国内利用 VS イト-ヨ-カド- キハ,567,家計,食費,対象外,食料品(スーパー)
2026/05/22,GU MODE楽天市場店 ラクテンイチバ705011,5274,家計,被服費,対象外,衣料品
2026/05/22,楽天24 ベビー館 ラクテンイチバ703018,10700,家計,日用品,対象外,日用品・育児
2026/05/22,VISA国内利用 VS マイバスケツト,2021,家計,食費,対象外,食料品(スーパー)
2026/05/20,VISA国内利用 VS マイバスケツト,4748,家計,食費,対象外,食料品(スーパー)
2026/05/20,VISA国内利用 VS マイバスケツト,1779,家計,食費,対象外,食料品(スーパー)
2026/05/17,VISA国内利用 VS マイバスケツト,665,家計,食費,対象外,食料品(スーパー)
2026/05/16,VISA国内利用 VS マイバスケツト,387,家計,食費,対象外,食料品(スーパー)
2026/05/16,楽天証券投信積立0.5%~,99999,投資,投資積立,対象外,振替:投資積立
2026/05/15,VISA国内利用 VS マイバスケツト,440,家計,食費,対象外,食料品(スーパー)
2026/05/14,西友,2287,家計,食費,対象外,食料品(スーパー)
2026/05/14,VISA国内利用 VS セリア セイユウトウヨウチヨウテン,330,家計,日用品,対象外,日用品・育児
2026/05/14,VISA国内利用 VS カブシキガイシヤポピンズ,16786,家計,教育・保育,対象外,育児・保育(ポピンズ)
2026/05/08,VISA国内利用 VS マイバスケツト,1517,家計,食費,対象外,食料品(スーパー)
2026/05/06,西友,2027,家計,食費,対象外,食料品(スーパー)
2026/05/01,VISA国内利用 VS ミルクコウボウボン デイア,660,家計,日用品,対象外,日用品・育児
