問題ID,年度,問,動画長,1周目(○/×),2周目,3周目,要カード化,メモ(なぜ間違えた/論点)
H1704,平成17年,問4,03:44,,,,,
H1707,平成17年,問7,03:52,,,,,
H1709,平成17年,問9,03:39,,,,,
H1711,平成17年,問11,04:16,,,,,
H1712,平成17年,問12,04:23,,,,,
H1715,平成17年,問15,04:02,,,,,
H1718,平成17年,問18,03:02,,,,,
H1719,平成17年,問19,02:50,,,,,
H1807,平成18年,問7,04:28,,,,,
H1809,平成18年,問9,04:11,,,,,
H1812,平成18年,問12,03:39,,,,,
H1813,平成18年,問13,04:02,,,,,
H1814,平成18年,問14,04:26,,,,,
H1815,平成18年,問15,03:23,,,,,
H1816,平成18年,問16,03:59,,,,,
H1901,平成19年,問1,04:39,,,,,
H1903,平成19年,問3,05:38,,,,,
H1904,平成19年,問4,03:27,,,,,
H1905,平成19年,問5,04:01,,,,,
H1907,平成19年,問7,04:00,,,,,
H1910,平成19年,問10,04:54,,,,,
H1913,平成19年,問13,04:27,,,,,
H1914,平成19年,問14,03:07,,,,,
H1915,平成19年,問15,03:53,,,,,
H1916,平成19年,問16,04:41,,,,,
H1917,平成19年,問17,04:07,,,,,
H1919,平成19年,問19,05:26,,,,,
H2003,平成20年,問3,03:45,,,,,
H2006,平成20年,問6,04:01,,,,,
H2011,平成20年,問11,04:25,,,,,
H2012,平成20年,問12,04:10,,,,,
H2014,平成20年,問14,04:06,,,,,
H2015,平成20年,問15,04:13,,,,,
H2019,平成20年,問19,04:53,,,,,
H2103,平成21年,問3,03:12,,,,,
H2106,平成21年,問6,03:47,,,,,
H2108,平成21年,問8,04:23,,,,,
H2109,平成21年,問9,04:37,,,,,
H2112,平成21年,問12,05:29,,,,,
H2114,平成21年,問14,03:48,,,,,
H2115,平成21年,問15,03:27,,,,,
H2116,平成21年,問16,03:47,,,,,
H2119,平成21年,問19,03:34,,,,,
H2120,平成21年,問20,04:17,,,,,
H2201,平成22年,問1,03:41,,,,,
H2204,平成22年,問4,03:27,,,,,
H2206,平成22年,問6,03:10,,,,,
H2207,平成22年,問7,04:41,,,,,
H2212,平成22年,問12,02:19,,,,,
H2214,平成22年,問14,05:00,,,,,
H2215,平成22年,問15,05:35,,,,,
H2216,平成22年,問16,06:33,,,,,
H2219,平成22年,問19,05:24,,,,,
H2220,平成22年,問20,04:18,,,,,
H2303,平成23年,問3,04:12,,,,,
H2306,平成23年,問6,03:40,,,,,
H2308,平成23年,問8,03:25,,,,,
H2309,平成23年,問9,05:19,,,,,
H2312,平成23年,問12,04:40,,,,,
H2313,平成23年,問13,03:48,,,,,
H2315,平成23年,問15,04:36,,,,,
H2316,平成23年,問16,06:33,,,,,
H2317,平成23年,問17,04:31,,,,,
H2318,平成23年,問18,04:07,,,,,
H2319,平成23年,問19,03:59,,,,,
H2403,平成24年,問3,04:25,,,,,
H2407,平成24年,問7,04:22,,,,,
H2408,平成24年,問8,03:34,,,,,
H2410,平成24年,問10,03:57,,,,,
H2417,平成24年,問17,03:39,,,,,
H2418,平成24年,問18,05:08,,,,,
H2420,平成24年,問20,03:55,,,,,
H2501,平成25年,問1,04:19,,,,,
H2502,平成25年,問2,05:48,,,,,
H2503,平成25年,問3,04:30,,,,,
H2504,平成25年,問4,04:38,,,,,
H2509,平成25年,問9,02:42,,,,,
H2511,平成25年,問11,04:11,,,,,
H2512,平成25年,問12,03:55,,,,,
H2513,平成25年,問13,03:14,,,,,
H2515,平成25年,問15,04:10,,,,,
H2517,平成25年,問17,03:47,,,,,
H2518,平成25年,問18,04:25,,,,,
H2519,平成25年,問19,03:21,,,,,
H2520,平成25年,問20,03:05,,,,,
H2606,平成26年,問6,05:19,,,,,
H2607,平成26年,問7,04:14,,,,,
H2613,平成26年,問13,03:39,,,,,
H2614,平成26年,問14,06:20,,,,,
H2615,平成26年,問15,03:12,,,,,
H2616,平成26年,問16,04:20,,,,,
H2617,平成26年,問17,04:10,,,,,
H2620,平成26年,問20,03:48,,,,,
