取引No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),摘要,タグ,メモ
,2026/03/02,仕入高,クーパン2,,,課仕 10%,有,4290,獲得ポイント残高,,,,対象外,,4290,レキシリス.ブラック スカルプローション (100ｍL) ヘアトニック 頭皮保湿,,注文250-3741594-4835005/ASINB0071925WY/T1040001069154
,2026/02/19,仕入高,クーパン2,,,課仕 10%,有,12980,獲得ポイント残高,,,,対象外,,12980,HyperX Cloud Alpha S ゲーミング ヘッドセット 7.1サラウ,,注文250-0183636-6051038/ASINB081D8TPZZ/T2810805784083
,2026/02/02,仕入高,クーパン2,,,課仕 10%,有,4100,獲得ポイント残高,,,,対象外,,4100,レキシリス.ブラック スカルプローション (100ｍL) ヘアトニック 頭皮保湿,,注文250-5055221-4544645/ASINB0071925WY/T7120101065015
,2026/01/22,仕入高,クーパン2,,,課仕 10%（経過措置80%）,無,3498,獲得ポイント残高,,,,対象外,,3498,ダイキン 空気清浄機 用 フィルター KAFP029A4 集塵フィルター と 脱,,注文250-7817602-4259855/ASINB0BHNW2KVP/
,2026/01/22,仕入高,クーパン2,,,課仕 10%,有,21800,獲得ポイント残高,,,,対象外,,21800,オーディオテクニカ ATH-CKS50TW2 BK(E) ワイヤレスイヤホン B,,注文250-7004946-9793424/ASINB0DGPT2MVN/T3040001028447
,2026/01/22,仕入高,クーパン2,,,課仕 10%,有,3890,獲得ポイント残高,,,,対象外,,3890,30MF ローザンナイト 色分け済みプラモデル,,注文250-4687548-1678265/ASINB0CYGQRDKC/T4810165694689
,2026/01/19,仕入高,クーパン2,,,課仕 10%（経過措置80%）,無,34980,獲得ポイント残高,,,,対象外,,34980,ファイナル ZE8000 MK2 2023年 フラッグシップ級ワイヤレスイヤホン,,注文250-3333885-6184634/ASINB0CN61T66M/
,2026/01/18,仕入高,クーパン2,,,課仕 10%,有,3700,獲得ポイント残高,,,,対象外,,3700,PGYTECH ドローン用 ランディングパッド プロ V2 ドローン着地パッド ,,注文250-8208861-2512608/ASINB09TZWXL6J/T3040001028447
,2026/01/18,仕入高,クーパン2,,,課仕 10%,有,2621,獲得ポイント残高,,,,対象外,,2621,東京マルイ No.169 CQ-FLASH ブラック,,注文250-8790369-4387835/ASINB0040GKBYU/T3040001028447
,2026/01/15,仕入高,クーパン2,,,課仕 10%,有,5800,獲得ポイント残高,,,,対象外,,5800,RG 機動戦士Ζガンダム RX-178 ガンダムMk-II エゥーゴ仕様 1/1,,注文250-3615436-6199034/ASINB08VGLKRD7/T7810650935315
,2026/01/15,仕入高,クーパン2,,,課仕 10%,有,3739,獲得ポイント残高,,,,対象外,,3739,【純正品 日本製】 クリンスイ 浄水器 ポット型 カートリッジ計2個入り [本体,,注文250-1926357-8243825/ASINB075GG5P4R/T3040001028447
,2026/01/14,仕入高,クーパン2,,,課仕 10%,有,6498,獲得ポイント残高,,,,対象外,,6498,マテル ジュラシックワールド(JURASSIC WORLD) キック&モグモグ ,,注文250-1507226-7099847/ASINB0CBNM8K2B/T3810234015679
,2026/01/14,仕入高,クーパン2,,,課仕 10%,有,3500,獲得ポイント残高,,,,対象外,,3500,[TIMEX] キッズ 腕時計 Watch タイメックス ANALOGUE アナ,,注文250-0323326-4998213/ASINB0DHTB53ZX/T3040001028447
,2026/01/13,仕入高,クーパン2,,,課仕 10%,有,3066,獲得ポイント残高,,,,対象外,,3066,くらしリズム メディカル ミヤリサン製薬 ミヤフローラEX (230錠) 消化促,,注文250-4248398-3320608/ASINB06Y2442CL/T1810553346120
,2026/01/13,仕入高,クーパン2,,,課仕 10%,有,3800,獲得ポイント残高,,,,対象外,,3800,30MF ローザンナイト 色分け済みプラモデル,,注文250-6590432-7311036/ASINB0CYGQRDKC/T1260001037601
,2026/01/13,仕入高,クーパン2,,,課仕 10%,有,3066,獲得ポイント残高,,,,対象外,,3066,くらしリズム メディカル ミヤリサン製薬 ミヤフローラEX (230錠) 消化促,,注文250-4896048-3517434/ASINB06Y2442CL/T1810553346120
,2026/01/13,仕入高,クーパン2,,,課仕 10%,有,4833,獲得ポイント残高,,,,対象外,,4833,ROAMAN 充電式ウォーターフロス mini1 口腔洗浄機 ポケットサイズ デ,,注文250-1523650-7106215/ASINB081CF8SMX/T3040001028447
,2026/01/13,仕入高,クーパン2,,,課仕 10%,有,3767,獲得ポイント残高,,,,対象外,,3767,Noritake ノリタケ ティー カップ & ソーサー 180cc キューティ,,注文250-9022463-1174203/ASINB006LD6O6O/T3040001028447
,2026/01/10,仕入高,クーパン2,,,課仕 10%,有,21550,獲得ポイント残高,,,,対象外,,21550,TWINBIRD(ツインバード) コードレス掃除機 紙パック式 自走式 ハンディ,,注文250-9817775-6322206/ASINB0BHKR9BT1/T6810206962409
,2026/01/10,仕入高,クーパン2,,,課仕 10%,有,3066,獲得ポイント残高,,,,対象外,,3066,くらしリズム メディカル ミヤリサン製薬 ミヤフローラEX (230錠) 消化促,,注文250-0960276-4676632/ASINB06Y2442CL/T1810553346120
,2026/01/08,仕入高,クーパン2,,,課仕 10%,有,8800,獲得ポイント残高,,,,対象外,,8800,森永乳業メモリービフィズス菌500億個配合（1本3g×30）,,注文250-9075329-4319064/ASINB096NG7RWM/T7011801023974
,2026/01/07,仕入高,クーパン2,,,課仕 10%,有,3635,獲得ポイント残高,,,,対象外,,3635,DR.WU(ドクターウー) ミネラルメイクアップ DDクリーム 酸化亜鉛フリー ,,注文250-8876206-1447051/ASINB09G2J1LTR/T2140001121374
,2026/01/06,仕入高,クーパン2,,,課仕 10%,有,18752,獲得ポイント残高,,,,対象外,,18752,カワダ(Kawada) ナノブロック 東京スカイツリー(R) デラックスエディシ,,注文250-7135083-7203836/ASINB008M4OXM2/T3040001028447
,2026/01/06,仕入高,クーパン2,,,課仕 10%（経過措置80%）,無,4199,獲得ポイント残高,,,,対象外,,4199,金属カメラリング式三脚座、 レンズサポート襟、レンズブラケット襟、三脚マウントリ,,注文250-3520010-3419803/ASINB0BVFKJP4G/
,2026/01/06,仕入高,クーパン2,,,課仕 10%,有,24552,獲得ポイント残高,,,,対象外,,24552,オーディオテクニカ ATH-EP1000IR 楽器用ワイヤレスヘッドホン 電子ピ,,注文250-6856813-3191818/ASINB0921NPSXW/T3040001028447
,2026/01/06,仕入高,クーパン2,,,課仕 10%,有,12850,獲得ポイント残高,,,,対象外,,12850,カロッツェリア(パイオニア) カーオーディオ FH-3100 2DIN CD/U,,注文250-1993073-4380628/ASINB00O8KGDLS/T3040001028447
,2026/01/05,仕入高,クーパン2,,,課仕 10%,有,15431,獲得ポイント残高,,,,対象外,,15431,ニッタク(Nittaku) 卓球 ラケット アコースティックカーボン シェークハ,,注文250-1028011-6468642/ASINB00HRJUYGM/T3040001028447
,2026/01/05,仕入高,クーパン2,,,課仕 10%,有,3222,獲得ポイント残高,,,,対象外,,3222,fru:C フルーシー ビタミンC美容液 【LDK史上最高の毛穴レス効果を獲得】,,注文250-0029905-3005405/ASINB0B6FJ8CTG/T8010401149056
,2026/01/05,仕入高,クーパン2,,,課仕 10%（経過措置80%）,無,3980,獲得ポイント残高,,,,対象外,,3980,NEW成分配合【プロハーブ】ＥＭシャンプー＆ヘアコンディショナーセット※専用ポン,,注文250-6845686-9383858/ASINB00402F5A4/
,2026/01/05,仕入高,クーパン2,,,課仕 10%,有,50228,獲得ポイント残高,,,,対象外,,50228,シマノ(SHIMANO) ベイトリール 23 カルカッタコンクエスト MD 30,,注文250-6027677-7701405/ASINB0BSRKPZCW/T3040001028447
,2026/01/05,仕入高,クーパン2,,,課仕 10%（経過措置80%）,無,3600,獲得ポイント残高,,,,対象外,,3600,30MF ローザンナイト 色分け済みプラモデル,,注文250-7460226-3707069/ASINB0CYGQRDKC/
,2026/01/05,仕入高,クーパン2,,,課仕 10%,有,16648,獲得ポイント残高,,,,対象外,,16648,VICTORINOX(ビクトリノックス) レンジャー 55 グリップ オニキスブ,,注文250-1308064-3623857/ASINB08HDJ3144/T3040001028447
