取引No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),摘要,タグ,メモ
,2025/07/28,仕入高,クーパン2,,,課仕 10%（経過措置80%）,無,15980,獲得ポイント残高,,,,対象外,,15980,Anker Soundcore Sleep A20 （ワイヤレスイヤホン Blu,,注文249-5305019-3988612/ASINB0CRVJNXRD/
,2025/07/27,仕入高,クーパン2,,,課仕 10%,有,15272,獲得ポイント残高,,,,対象外,,15272,ダイワ(DAIWA) エギング専用リール 24エメラルダス X LT2500-X,,注文249-7619437-5270257/ASINB0D4QHQC4F/T3040001028447
,2025/07/27,仕入高,クーパン2,,,課仕 10%,有,6110,獲得ポイント残高,,,,対象外,,6110,ソニー(SONY) ポータブルスピーカー SRS-XB13 BC ブラック 20,,注文249-5864656-3784619/ASINB0936D3NVM/T3020003020610
,2025/07/25,仕入高,クーパン2,,,課仕 10%,有,3880,獲得ポイント残高,,,,対象外,,3880,通販エレキバンＭＡＸ２００ ２４粒入 × 3個セット,,注文249-9732450-3026262/ASINB0717BJPPW/T4122001031405
,2025/07/24,仕入高,クーパン2,,,課仕 10%,有,3865,獲得ポイント残高,,,,対象外,,3865,コクヨ(KOKUYO) テープのり のり ドットライナー 詰め替え 強粘着 15,,注文249-5860402-8623051/ASINB00W3FMKDA/T3040001028447
,2025/07/23,仕入高,クーパン2,,,課仕 10%,有,15840,獲得ポイント残高,,,,対象外,,15840,Kensington ケンジントン Slimblade Pro ワイヤレストラッ,,注文249-8684002-6039014/ASINB0BN8224SY/T3040001028447
,2025/07/22,仕入高,クーパン2,,,課仕 10%,有,3250,獲得ポイント残高,,,,対象外,,3250,HARIO ガラスの手仕事保存びん 1000mL GHB-1000,,注文249-5407432-5955019/ASINB0BXRXNWGF/T7430001086831
,2025/07/21,仕入高,クーパン2,,,課仕 10%,有,6411,獲得ポイント残高,,,,対象外,,6411,クリンスイ 浄水器 蛇口直結型 CSPシリーズ 交換カートリッジ HGC9SZ,,注文249-9336489-3387003/ASINB0088GWV7I/T3240002049190
,2025/07/17,仕入高,クーパン2,,,課仕 10%,有,6913,獲得ポイント残高,,,,対象外,,6913,ミューノアージュ Wアプローチヘアプログラム [医薬部外品 薬用育毛剤60mL ,,注文249-4147416-2166233/ASINB07VSPNPN8/T8010401094418
,2025/07/17,仕入高,クーパン2,,,課仕 10%,有,3880,獲得ポイント残高,,,,対象外,,3880,通販エレキバンＭＡＸ２００ ２４粒入 × 3個セット,,注文249-7409300-1273445/ASINB0717BJPPW/T4122001031405
,2025/07/15,仕入高,クーパン2,,,課仕 10%（経過措置80%）,無,3042,獲得ポイント残高,,,,対象外,,3042,TELESIN GoProと互換用 ダブルクランプ マウント ダブルハサミマウン,,注文249-2239605-3031869/ASINB0CKX79JNT/
,2025/07/15,仕入高,クーパン2,,,課仕 10%,有,3666,獲得ポイント残高,,,,対象外,,3666,スーパー戦隊シリーズ 海賊戦隊ゴーカイジャー VOL.3 [Blu-ray],,注文249-4318978-2147864/ASINB004ZHYEGU/T3040001028447
,2025/07/15,仕入高,クーパン2,,,課仕 10%,有,3980,獲得ポイント残高,,,,対象外,,3980,おでこのシワ、ほうれい線、目元のシワ改善 シワ取りクリーム シルクワン 28g ,,注文249-7683296-8811043/ASINB0CTX5DVPK/T1010401084375
